time,equity,mtm_equity,unrealized_pnl,open_positions,cb_active,drawdown_pct
2026-02-06 19:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-06 20:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-06 21:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-06 22:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-06 23:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 00:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 01:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 02:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 03:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 04:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 05:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 06:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 07:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 08:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 09:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 10:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 11:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 12:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 13:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 14:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 15:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 16:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 17:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 18:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 19:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 20:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 21:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 22:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-07 23:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-08 00:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-08 01:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-08 02:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
2026-02-08 03:00:00+00:00,50000.0,50000.0,0.0,0,False,0.0
