timestamp,symbol,side,entry,exit,tp1_hit,tp2_hit,sl_hit,trailing_hit,early_exit,pnl,fees,ml_samples_at_entry,ml_samples_at_exit,ml_conf_at_entry,ml_conf_at_exit,state_path,outcome,leverage,confidence,strategy,entry_reasons,entry_type,primary_driver,regime,volatility_band
2026-03-25T14:17:38.129120+00:00,HYPE,LONG,40.9149,40.5675,False,False,True,False,False,-10.53,0.48,0,6,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,2.0,83.7,ensemble,"{""strategies_agree"": [""multi_tier_quality"", ""probability_engine""], ""num_agree"": 2, ""trend_adjustment"": 4.9, ""regime_score"": 0, ""individual_confidences"": {""multi_tier_quality"": 78.0, ""probability_engine"": 74.20347194507562}, ""mode"": ""weighted_veto"", ""rr1"": 1.75, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""multi_tier_quality"", ""regime"": ""trending"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.4939, ""win_prob_deflated"": 0.5669, ""fee_drag_pct"": 11.9, ""llm_notes"": """", ""snapshot_entry"": 40.919, ""live_entry"": 40.919, ""entry_slippage_pct"": 0.0}",MEDIUM,multi_tier_quality,trending,low
2026-03-25T20:21:39.106565+00:00,HYPE,LONG,40.7934,39.9865,False,False,True,False,False,-4.29,0.11,0,7,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,1.5,77.3,ensemble,"{""strategies_agree"": [""multi_tier_quality""], ""num_agree"": 1, ""trend_adjustment"": 2.3, ""regime_score"": 0, ""individual_confidences"": {""multi_tier_quality"": 78.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""multi_tier_quality"", ""regime"": ""trending"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.183, ""win_prob_deflated"": 0.4212, ""fee_drag_pct"": 4.9, ""llm_notes"": """", ""snapshot_entry"": 40.7695, ""live_entry"": 40.7975, ""entry_slippage_pct"": 0.0687}",MEDIUM,multi_tier_quality,trending,low
2026-03-25T20:22:20.255962+00:00,HYPE,LONG,40.6814,39.9505,False,False,True,False,False,-4.34,0.13,0,6,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,1.5,78.5,ensemble,"{""strategies_agree"": [""multi_tier_quality""], ""num_agree"": 1, ""trend_adjustment"": 2.3, ""regime_score"": 0, ""individual_confidences"": {""multi_tier_quality"": 78.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""multi_tier_quality"", ""regime"": ""trending"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.1319, ""win_prob_deflated"": 0.4056, ""fee_drag_pct"": 5.5, ""llm_notes"": """", ""snapshot_entry"": 40.689, ""live_entry"": 40.6855, ""entry_slippage_pct"": 0.0086}",MEDIUM,multi_tier_quality,trending,low
2026-03-27T19:55:53.216841+00:00,BTC,SHORT,67873.7,66054.0,True,False,False,True,False,53.84,0.45,0,7,0.0000,0.0000,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,TRAILING_WIN,3.0,79.9,ensemble,"{""strategies_agree"": [""confidence_scorer"", ""multi_tier_quality""], ""num_agree"": 2, ""trend_adjustment"": 4.7, ""regime_score"": 0, ""individual_confidences"": {""confidence_scorer"": 70.0, ""multi_tier_quality"": 83.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""confidence_scorer"", ""regime"": ""illiquid"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.454, ""win_prob_deflated"": 0.5081, ""fee_drag_pct"": 5.5, ""llm_notes"": """", ""snapshot_entry"": 67880.5, ""live_entry"": 67880.5, ""entry_slippage_pct"": 0.0}",MEDIUM,confidence_scorer,illiquid,low
2026-03-29T22:47:34.085754+00:00,SOL,SHORT,81.773,79.6645,True,True,False,False,False,7.28,0.08,0,8,0.0000,0.0000,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,CLEAN_WIN,3.5,76.0,sniper_premium,"{""sniper_tier"": ""PREMIUM"", ""auto_executed"": true}",,,,
2026-03-29T22:56:11.184897+00:00,BTC,SHORT,66441.9,65747.5,True,False,False,True,False,38.31,0.23,0,9,0.0000,0.0000,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,TRAILING_WIN,10.0,85.5,ensemble,"{""strategies_agree"": [""multi_tier_quality"", ""bollinger_squeeze""], ""num_agree"": 2, ""trend_adjustment"": 5.1, ""regime_score"": 0, ""individual_confidences"": {""multi_tier_quality"": 83.0, ""bollinger_squeeze"": 77.0}, ""mode"": ""weighted_veto"", ""rr1"": 1.5, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""bollinger_squeeze"", ""regime"": ""trending"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": 0.3642, ""win_prob_deflated"": 0.5917, ""fee_drag_pct"": 10.0, ""llm_notes"": """", ""snapshot_entry"": 66444.5, ""live_entry"": 66448.5, ""entry_slippage_pct"": 0.006}",MEDIUM,bollinger_squeeze,trending,low
2026-03-30T01:29:04.366715+00:00,SOL,SHORT,81.852,82.5055,False,False,True,False,False,-147.80,1.53,0,10,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,9.7,76.0,sniper_premium,"{""sniper_tier"": ""PREMIUM"", ""auto_executed"": true}",,,,
2026-04-01T02:28:45.281076+00:00,ETH,LONG,2109.14,2083.95,False,False,True,False,False,-1.75,0.06,0,11,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,2.0,61.2,ensemble,"{""strategies_agree"": [""multi_tier_quality""], ""num_agree"": 1, ""trend_adjustment"": 0, ""regime_score"": 0, ""individual_confidences"": {""multi_tier_quality"": 66.0}, ""mode"": ""weighted_veto"", ""rr1"": 2.0, ""ml_adjusted"": true, ""entry_type"": ""MEDIUM"", ""primary_driver"": ""multi_tier_quality"", ""regime"": ""ranging"", ""volatility_band"": ""low"", ""llm_action"": ""no_llm"", ""llm_confidence"": 0.0, ""llm_agreed"": true, ""signal_flags"": """", ""flag_max_priority"": 0, ""ev_per_dollar"": -0.1069, ""win_prob_deflated"": 0.33, ""fee_drag_pct"": 7.3, ""cluster_risk"": 0.0, ""llm_notes"": """", ""snapshot_entry"": 2108.95, ""live_entry"": 2109.35, ""entry_slippage_pct"": 0.019}",MEDIUM,multi_tier_quality,ranging,low
2026-04-01T05:25:11.656710+00:00,HYPE,SHORT,36.1379,36.894,False,False,True,False,False,-2.44,0.03,0,12,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,3.2,80.4,ensemble,{},,,,
2026-04-01T05:39:31.851399+00:00,HYPE,SHORT,36.1379,36.994,False,False,True,False,False,-2.76,0.03,0,12,0.0000,0.0000,IDLE->OPEN->CLOSED,CLEAN_LOSS,3.2,80.4,ensemble,{},,,,
