id,timestamp,factor,symbol,predicted_side,confidence,entry_price,exit_price,actual_return,resolved,resolve_timestamp
7abc25730296,1775050445.1813052,regime_trend,HYPE,SELL,65.0,36.98,,,expired,1776567043.1695824
1b39d4916dd4,1775050461.3852878,regime_trend,HYPE,SELL,65.0,37.029,,,expired,1776567043.1695824
bd3364ac9358,1775050506.913896,regime_trend,HYPE,SELL,65.0,37.029,,,expired,1776567043.1695824
949b3bb6fc76,1775050522.6934013,regime_trend,HYPE,SELL,65.0,36.98,,,expired,1776567043.1695824
c1e6819e13b7,1775050563.3952415,regime_trend,HYPE,SELL,65.0,37.029,,,expired,1776567043.1695824
0a66915071bb,1775050571.6209595,regime_trend,HYPE,SELL,65.0,36.948,,,expired,1776567043.1695824
e58955d447ae,1775050617.0902817,regime_trend,HYPE,SELL,65.0,36.948,,,expired,1776567043.1695824
f688c4e3f1f5,1775050621.4083989,regime_trend,HYPE,SELL,65.0,36.98,,,expired,1776567043.1695824
efb5f5cf6078,1775050672.8269176,regime_trend,HYPE,SELL,65.0,36.948,,,expired,1776567043.1695824
5e2bfa8d6144,1775050687.9888308,regime_trend,HYPE,SELL,65.0,36.98,,,expired,1776567043.1695824
0e4412ea2f6b,1775050733.9942386,regime_trend,HYPE,SELL,65.0,36.98,,,expired,1776567043.1695824
a57fb853a0de,1775050750.2016158,regime_trend,HYPE,SELL,65.0,36.948,,,expired,1776567043.1695824
7f066dc0675c,1775050798.1686697,regime_trend,HYPE,SELL,65.0,36.985,,,expired,1776567043.1695824
774b69abc676,1775050800.272356,regime_trend,HYPE,SELL,65.0,36.985,,,expired,1776567043.1695824
cb70c0049cd1,1775050852.1145442,regime_trend,HYPE,SELL,65.0,36.985,,,expired,1776567043.1695824
3ba3269e9bbe,1775050886.6389976,regime_trend,HYPE,SELL,65.0,36.985,,,expired,1776567043.1695824
a4bf7df3c6b7,1775050932.5547824,regime_trend,HYPE,SELL,65.0,36.985,,,expired,1776567043.1695824
074238737e2e,1775050946.7601767,regime_trend,HYPE,SELL,65.0,36.985,,,expired,1776567043.1695824
5ae076278861,1775050989.5177476,regime_trend,HYPE,SELL,65.0,36.67,,,expired,1776567043.1695824
a60dc394491c,1775050994.7879553,regime_trend,HYPE,SELL,65.0,36.652,,,expired,1776567043.1695824
01f23bf3aee6,1775051040.3798196,regime_trend,HYPE,SELL,65.0,36.652,,,expired,1776567043.1695824
c85e7ff323a6,1775051045.2600517,regime_trend,HYPE,SELL,65.0,36.67,,,expired,1776567043.1695824
3baf911c2ca0,1775051096.2149756,regime_trend,HYPE,SELL,65.0,36.652,,,expired,1776567043.1695824
18af222bd072,1775051115.3730693,regime_trend,HYPE,SELL,65.0,36.67,,,expired,1776567043.1695824
170f65310743,1775051160.9476178,regime_trend,HYPE,SELL,65.0,36.67,,,expired,1776567043.1695824
a0301e0be3ba,1775051173.6128054,regime_trend,HYPE,SELL,65.0,36.652,,,expired,1776567043.1695824
b0f62bf5be1b,1775051217.7218645,regime_trend,HYPE,SELL,65.0,36.69,,,expired,1776567043.1695824
55f233dd8434,1775051222.8437817,regime_trend,HYPE,SELL,65.0,36.655,,,expired,1776567043.1695824
f7fa920ef73c,1775051268.4630675,regime_trend,HYPE,SELL,65.0,36.655,,,expired,1776567043.1695824
98ebbe19b89c,1775051273.5864837,regime_trend,HYPE,SELL,65.0,36.69,,,expired,1776567043.1695824
f920594ed8c4,1775051324.3974986,regime_trend,HYPE,SELL,65.0,36.655,,,expired,1776567043.1695824
740af474c932,1775051343.0853457,regime_trend,HYPE,SELL,65.0,36.69,,,expired,1776567043.1695824
1d1986fc66f1,1775051389.3878949,regime_trend,HYPE,SELL,65.0,36.62,,,expired,1776567043.1695824
3afb424dce9b,1775051401.8632488,regime_trend,HYPE,SELL,65.0,36.655,,,expired,1776567043.1695824
87e0c7355ddf,1775051445.1714177,regime_trend,HYPE,SELL,65.0,36.62,,,expired,1776567043.1695824
0f7c54f26fa2,1775051449.6296535,regime_trend,HYPE,SELL,65.0,36.629,,,expired,1776567043.1695824
39ef1f315c27,1775051495.2103074,regime_trend,HYPE,SELL,65.0,36.629,,,expired,1776567043.1695824
9e83090054fa,1775051500.989248,regime_trend,HYPE,SELL,65.0,36.62,,,expired,1776567043.1695824
b3a4dc03b94d,1775051550.9865336,regime_trend,HYPE,SELL,65.0,36.629,,,expired,1776567043.1695824
72fca1cdb78a,1775051570.7299528,regime_trend,HYPE,SELL,65.0,36.688,,,expired,1776567043.1695824
c8e7357a091b,1775051616.311829,regime_trend,HYPE,SELL,65.0,36.688,,,expired,1776567043.1695824
55b1502b11ff,1775051628.3742726,regime_trend,HYPE,SELL,65.0,36.629,,,expired,1776567043.1695824
16d8d0313345,1775051672.1421921,regime_trend,HYPE,SELL,65.0,36.688,,,expired,1776567043.1695824
e70c1a30ede2,1775051676.4337206,regime_trend,HYPE,SELL,65.0,36.717,,,expired,1776567043.1695824
a0403c860408,1775051722.016384,regime_trend,HYPE,SELL,65.0,36.717,,,expired,1776567043.1695824
b208703764ff,1775051730.5685422,regime_trend,HYPE,SELL,65.0,36.688,,,expired,1776567043.1695824
df461db647e1,1775051779.56035,regime_trend,HYPE,SELL,65.0,36.717,,,expired,1776567043.1695824
8698914fce72,1775051800.1542716,regime_trend,HYPE,SELL,65.0,36.744,,,expired,1776567043.1695824
f05cfc7b3239,1775051845.81517,regime_trend,HYPE,SELL,65.0,36.744,,,expired,1776567043.1695824
d1c5d1b2b200,1775051856.9598656,regime_trend,HYPE,SELL,65.0,36.717,,,expired,1776567043.1695824
d82120c68215,1775051901.7303767,regime_trend,HYPE,SELL,65.0,36.744,,,expired,1776567043.1695824
2c3115886b21,1775051904.8898938,regime_trend,HYPE,SELL,65.0,36.751,,,expired,1776567043.1695824
cfa0319fc084,1775051950.5223768,regime_trend,HYPE,SELL,65.0,36.751,,,expired,1776567043.1695824
d526ca64786d,1775051957.5925791,regime_trend,HYPE,SELL,65.0,36.744,,,expired,1776567043.1695824
51c4840b4c00,1775052006.3864186,regime_trend,HYPE,SELL,65.0,36.751,,,expired,1776567043.1695824
b8464c7daf76,1775052084.0801017,regime_trend,HYPE,SELL,65.0,36.751,,,expired,1776567043.1695824
f1b3bea7701c,1775060281.2689943,regime_trend,HYPE,SELL,65.0,36.519,,,expired,1776567043.1695824
1a659fba5a67,1775060354.4958248,regime_trend,HYPE,SELL,65.0,36.519,,,expired,1776567043.1695824
8973f9084462,1775060393.8631222,regime_trend,HYPE,SELL,65.0,36.519,,,expired,1776567043.1695824
26f6e4bc6ff0,1775060435.6490922,regime_trend,HYPE,SELL,65.0,36.775,,,expired,1776567043.1695824
54b55ef02e4d,1775060485.1833217,regime_trend,HYPE,SELL,65.0,36.775,,,expired,1776567043.1695824
6672f335509e,1775060556.7001495,regime_trend,HYPE,SELL,65.0,36.775,,,expired,1776567043.1695824
ec6a3d392c4a,1775060596.0423164,regime_trend,HYPE,SELL,65.0,36.775,,,expired,1776567043.1695824
4ca640a27d13,1775060637.7908595,regime_trend,HYPE,SELL,65.0,36.811,,,expired,1776567043.1695824
5898e178646c,1775060687.391365,regime_trend,HYPE,SELL,65.0,36.811,,,expired,1776567043.1695824
c8321cec9e1a,1775060758.8063138,regime_trend,HYPE,SELL,65.0,36.811,,,expired,1776567043.1695824
1d9b82ba6c12,1775060798.308629,regime_trend,HYPE,SELL,65.0,36.811,,,expired,1776567043.1695824
932db5fd9130,1775060840.1490872,regime_trend,HYPE,SELL,65.0,36.805,,,expired,1776567043.1695824
986e96960701,1775060889.7777555,regime_trend,HYPE,SELL,65.0,36.805,,,expired,1776567043.1695824
1e0a6a4583a9,1775060961.1372428,regime_trend,HYPE,SELL,65.0,36.805,,,expired,1776567043.1695824
fec43ff2e6e9,1775061000.4943225,regime_trend,HYPE,SELL,65.0,36.805,,,expired,1776567043.1695824
d51990c146e5,1775061042.2176774,regime_trend,HYPE,SELL,65.0,36.878,,,expired,1776567043.1695824
7fda844e34ea,1775061093.1537697,regime_trend,HYPE,SELL,65.0,36.878,,,expired,1776567043.1695824
678cb8896e62,1775061164.5535305,regime_trend,HYPE,SELL,65.0,36.878,,,expired,1776567043.1695824
