symbol,dt,dir,entry,risk_pct,adx,in_window,win_id,pnl_r_gross,pnl_r_net,hold,week
BTC,2026-01-01 01:00:00+00:00,-1,87998.42186482507,0.5921938747602963,21.648864620331636,False,-1,-1.0000000000000118,-1.20263634109451,21,2026-W01
BTC,2026-01-02 14:00:00+00:00,1,88960.79061168949,0.7004134897206925,42.036596527800405,True,12,0.5,0.3286726315795931,1,2026-W01
BTC,2026-01-03 06:00:00+00:00,1,89827.3256583901,0.723567927672565,26.053889336558193,True,12,1.362572493805907,1.196727663748288,37,2026-W01
BTC,2026-01-04 22:00:00+00:00,1,91140.12059253607,0.4897098729869968,35.871880210496634,True,13,1.691695388190376,1.446652340011549,8,2026-W01
BTC,2026-01-05 14:00:00+00:00,1,92447.54277993378,0.7548990255057555,37.070720125631226,True,13,1.25847766203312,1.0995160049828883,17,2026-W02
BTC,2026-01-06 14:00:00+00:00,1,93597.39402722326,0.6887473739462163,27.202652144809147,True,13,0.5,0.32577066056534876,1,2026-W02
BTC,2026-01-06 22:00:00+00:00,1,93113.17392584472,1.0547776194584315,23.758581144638562,False,-1,-0.9999999999999944,-1.1137680566844104,11,2026-W02
BTC,2026-01-08 15:00:00+00:00,-1,90656.91219054422,1.0065918101879743,48.594533233957776,True,14,-0.9999999999999983,-1.119214162866663,10,2026-W02
BTC,2026-01-09 03:00:00+00:00,1,90980.24713490653,0.863606475990653,26.370046540564886,True,14,-0.9999999999999949,-1.1389521771039781,5,2026-W02
BTC,2026-01-09 13:00:00+00:00,-1,90720.33036745313,0.7937690622941892,24.83920337303735,False,-1,0.5,0.34882252823866644,2,2026-W02
BTC,2026-01-09 19:00:00+00:00,-1,90807.0755645797,1.1051284053504997,20.892367855134385,False,-1,-1.000000000000003,-1.10858466710205,55,2026-W02
BTC,2026-01-12 14:00:00+00:00,-1,90994.17458363851,0.7778018418727335,25.35966178016142,False,17,0.5,0.34571905909727224,1,2026-W03
BTC,2026-01-12 22:00:00+00:00,-1,91263.62114604023,0.9313768618137588,19.765832026083768,False,-1,-0.9999999999999973,-1.128841508652373,7,2026-W03
BTC,2026-01-13 14:00:00+00:00,1,91826.62343168462,0.8441483959523575,23.202391708489817,False,-1,3.36666662910253,3.224511528677779,36,2026-W03
BTC,2026-01-15 03:00:00+00:00,1,96222.00030385847,1.036450860463837,47.20970282481992,True,18,-1.0000000000000013,-1.1157797292447598,16,2026-W03
BTC,2026-01-16 06:00:00+00:00,-1,95813.89179919907,0.8085000181826925,27.528443298888156,True,18,0.6849159223274197,0.5364929200995036,14,2026-W03
BTC,2026-01-17 02:00:00+00:00,-1,95424.42763663277,0.6083503867391623,21.50466093775011,False,-1,2.3809681235729525,2.1837133792417855,54,2026-W03
BTC,2026-01-19 16:00:00+00:00,-1,93327.28118832962,0.5895422646972769,34.52280533262521,True,20,3.918969136749786,3.7154213893094585,37,2026-W04
BTC,2026-01-21 14:00:00+00:00,-1,89409.25746764653,1.0390060728119808,38.217783312710964,True,20,-1.0000000000000033,-1.115494993860078,1,2026-W04
BTC,2026-01-22 00:00:00+00:00,-1,89459.85729056431,1.4107879797181184,23.797971181951524,False,-1,-0.9999999999999982,-1.0850588477681629,41,2026-W04
BTC,2026-01-23 21:00:00+00:00,-1,89609.96912420932,1.064455260652165,18.11930995245453,False,-1,0.9372606239390541,0.8245269051668072,39,2026-W04
BTC,2026-01-25 13:00:00+00:00,-1,88900.87285164472,0.44990003372462944,38.37316255150991,True,21,2.433465802257863,2.166739883154135,12,2026-W04
BTC,2026-01-26 02:00:00+00:00,-1,87659.01115300685,0.9131911959857602,45.63886851053824,True,21,-0.9999999999999958,-1.1314073115547945,12,2026-W05
BTC,2026-01-26 15:00:00+00:00,1,87772.72753548759,0.9727485259523778,24.96532373670329,False,-1,0.5,0.37663820936401526,1,2026-W05
BTC,2026-01-26 20:00:00+00:00,1,87795.19546991939,1.0386347645817273,23.417809538407134,False,-1,0.5418844540951548,0.426348171185998,13,2026-W05
BTC,2026-01-27 17:00:00+00:00,1,88038.74459885246,0.9214456446974939,19.185385619934532,False,-1,1.2499357483261022,1.1197056032377337,22,2026-W05
BTC,2026-01-28 17:00:00+00:00,1,89412.18945939688,1.0296983933155173,22.00495806671177,False,-1,0.5,0.38346102045122843,1,2026-W05
BTC,2026-01-28 19:00:00+00:00,1,89416.2548635879,1.0704077109407952,20.931382152548736,False,-1,-1.0000000000000053,-1.1121068157240162,7,2026-W05
