symbol,dt,dir,entry,risk_pct,adx,in_window,win_id,pnl_r_gross,pnl_r_net,hold,week
BTC,2026-05-30 00:00:00+00:00,-1,73516.22110317598,0.8427168549793722,22.052673006082667,False,-1,-0.9999999999999949,-1.142396582305136,25,2026-W22
BTC,2026-05-31 02:00:00+00:00,1,73854.67468820157,0.45671308430756113,14.081361545436284,False,-1,0.5,0.2372529841531993,5,2026-W22
BTC,2026-05-31 08:00:00+00:00,-1,73920.03995786219,0.40326644600525574,12.212380338052203,False,-1,0.5,0.20242999091861952,14,2026-W22
BTC,2026-06-01 00:00:00+00:00,-1,73779.29093917576,0.558336764852294,23.212568297920118,False,-1,0.5,0.2850759477897796,2,2026-W23
BTC,2026-06-03 10:00:00+00:00,-1,67393.77984525306,1.4024044658535617,64.3499483630408,True,4,2.4345699545747226,2.349002628655689,17,2026-W23
BTC,2026-06-04 13:00:00+00:00,-1,64116.40550573671,2.139712869421879,58.12745286661955,True,4,1.4648540085273938,1.4087717174336256,31,2026-W23
BTC,2026-06-05 21:00:00+00:00,-1,61664.968420547375,2.6534186199667937,35.08526243529718,True,4,0.6552517468890351,0.6100270699017674,28,2026-W23
BTC,2026-06-07 12:00:00+00:00,1,61760.573850593966,1.3461569082312799,27.390903974107914,False,-1,0.5,0.41085734562869913,1,2026-W23
BTC,2026-06-07 15:00:00+00:00,1,61797.68923887529,1.3072313789045478,24.823202807337655,False,-1,1.174198831164417,1.0824017691167178,33,2026-W23
BTC,2026-06-09 05:00:00+00:00,1,63145.67213816199,1.216637167963068,17.852480440986454,False,-1,-1.0000000000000022,-1.0986325283822378,8,2026-W24
BTC,2026-06-10 12:00:00+00:00,-1,61592.30772733872,1.2228841445904008,30.490933039996484,True,5,-1.0000000000000044,-1.0981286743563095,1,2026-W24
BTC,2026-06-10 17:00:00+00:00,1,61832.31477070613,1.4233830832408545,23.63255250819958,False,-1,1.073424461780522,0.9891182750533509,37,2026-W24
BTC,2026-06-12 12:00:00+00:00,1,63362.17004363631,0.9579666101421607,22.71672513397334,False,-1,1.158577683701441,1.0333123574055776,50,2026-W24
BTC,2026-06-15 22:00:00+00:00,1,66185.79755944446,0.8465440559165792,40.63231739690478,True,7,-0.9999999999999921,-1.1417528115179612,5,2026-W25
BTC,2026-06-16 04:00:00+00:00,-1,66124.80179048455,0.8718042774815606,29.913611002385565,False,-1,-0.9999999999999873,-1.137645573782502,4,2026-W25
BTC,2026-06-16 13:00:00+00:00,1,66275.07318149428,0.9020652136733507,23.890959539719322,False,-1,-0.9999999999999886,-1.133028076220045,1,2026-W25
BTC,2026-06-16 18:00:00+00:00,-1,66090.79988169363,0.9368741337871528,20.47937772183744,False,-1,0.5,0.3719144913149426,8,2026-W25
BTC,2026-06-17 04:00:00+00:00,-1,65902.05968593471,0.7796320348693953,14.734693930201338,False,-1,0.9039648124140601,0.7500460473647218,11,2026-W25
BTC,2026-06-17 19:00:00+00:00,-1,65408.19176990276,1.3719880569899305,20.991135708650628,False,-1,1.8006116083399473,1.7131472901276783,42,2026-W25
BTC,2026-06-19 16:00:00+00:00,1,62953.338196155855,0.9645054134865835,26.40974400059484,False,-1,1.3100188465184668,1.1856027485660323,40,2026-W25
BTC,2026-06-21 11:00:00+00:00,1,64087.97285845485,0.5854591566218449,29.2486200181026,False,-1,-1.0000000000000053,-1.2049673297321277,9,2026-W25
BTC,2026-06-22 00:00:00+00:00,-1,63946.49557389816,0.7550720475669365,23.327905415710305,False,-1,0.5,0.3410747684453753,1,2026-W26
BTC,2026-06-22 04:00:00+00:00,-1,64022.72383259023,0.8763671785124132,19.284831387049444,False,-1,-1.0000000000000064,-1.136928907131939,7,2026-W26
BTC,2026-06-22 17:00:00+00:00,1,64473.72268772822,0.9740609789617634,20.650528625712248,False,-1,-0.9999999999999977,-1.1231955725481415,5,2026-W26
BTC,2026-06-23 22:00:00+00:00,-1,62756.128053051725,0.8429037379141967,35.769104861606266,True,10,2.6707175836672246,2.528352572572428,22,2026-W26
BTC,2026-06-25 04:00:00+00:00,-1,61133.67965354427,1.2298093975912965,26.273514329074533,False,-1,-1.0,-1.097576096129231,3,2026-W26
BTC,2026-06-25 11:00:00+00:00,-1,61337.15956777414,1.061298138414276,19.48599686167393,False,-1,1.8818622223212473,1.768793146199719,3,2026-W26
BTC,2026-06-25 23:00:00+00:00,-1,60141.97018707152,1.6690847198784167,26.100328765161976,False,-1,0.6430332762094708,0.5711375847740227,4,2026-W26
BTC,2026-06-26 05:00:00+00:00,-1,59899.25949453298,1.7396944616527161,25.70774476028629,False,-1,0.5,0.43102237051096914,9,2026-W26
BTC,2026-06-26 15:00:00+00:00,-1,59851.001282526864,1.9201298999889223,20.120363191016704,False,-1,0.0513404204882253,-0.011155351282576408,72,2026-W26
BTC,2026-06-29 16:00:00+00:00,-1,59812.841497991205,1.353277534624044,24.80351184279796,False,-1,-1.0000000000000009,-1.0886736068025682,1,2026-W27
BTC,2026-06-30 03:00:00+00:00,-1,59982.66614958201,1.0949821385251597,18.71611876024773,False,-1,1.1443276213265687,1.0347367926016098,11,2026-W27
BTC,2026-07-01 01:00:00+00:00,-1,58858.018477379046,1.0953372757385118,30.778767001015083,False,14,0.5,0.39044470351007443,1,2026-W27
BTC,2026-07-01 08:00:00+00:00,-1,58923.32229325252,1.0911455163645178,30.89551843373961,True,15,-0.9999999999999972,-1.1099761655987126,6,2026-W27
ETH,2026-05-30 05:00:00+00:00,-1,2014.322907424907,0.9989264139705678,14.329054399949737,False,-1,-0.999999999999997,-1.1201289687826121,21,2026-W22
ETH,2026-05-31 08:00:00+00:00,-1,2026.1716033583953,0.5070032254834345,11.518040586265132,False,-1,1.0305525675739804,0.7938676828070672,15,2026-W22
ETH,2026-06-01 00:00:00+00:00,-1,2013.1910360670313,0.7275957015370853,22.024282014743562,False,-1,0.5,0.33507324226009927,2,2026-W23
ETH,2026-06-01 03:00:00+00:00,-1,2011.0938685221647,0.8630202358619932,22.33827671539221,False,-1,0.925223966099922,0.7861774003144247,16,2026-W23
ETH,2026-06-02 02:00:00+00:00,-1,1993.4448069026523,1.2504535298868638,36.19952012261526,True,4,0.5,0.4040348184623405,1,2026-W23
ETH,2026-06-03 10:00:00+00:00,-1,1889.4582394809104,1.6534129839333085,63.15691759822156,True,4,1.513277230711093,1.440700082009544,11,2026-W23
ETH,2026-06-03 22:00:00+00:00,-1,1849.6665925810476,2.152312662499264,59.81878091898327,True,4,0.9304655896361147,0.8747116083067218,6,2026-W23
ETH,2026-06-04 14:00:00+00:00,-1,1789.742996725491,2.450404369759537,49.8202247295587,True,4,2.8251832248294466,2.776211715685519,42,2026-W23
ETH,2026-06-06 23:00:00+00:00,-1,1566.6495269959553,1.9873966462856505,56.44199235997935,True,4,-1.0000000000000013,-1.060380498389326,4,2026-W23
ETH,2026-06-07 20:00:00+00:00,-1,1614.4914064438467,1.6392274147728811,25.040611646837526,False,-1,-0.9999999999999962,-1.07320521784747,2,2026-W23
ETH,2026-06-08 05:00:00+00:00,1,1648.3846546303018,1.971341988277202,30.676639537026773,True,5,0.7666388575644638,0.7057666188998419,19,2026-W24
ETH,2026-06-09 07:00:00+00:00,1,1678.8660541531606,1.6739060836296937,27.8643706181771,False,-1,-1.0000000000000029,-1.0716886097574825,7,2026-W24
ETH,2026-06-09 20:00:00+00:00,-1,1661.457004767311,1.5555962814475612,20.909312001102986,False,-1,0.6966987444926214,0.619557906968676,17,2026-W24
ETH,2026-06-10 14:00:00+00:00,1,1638.2205791801057,1.697582718999078,23.118352607315966,False,-1,-0.9999999999999964,-1.0706887497480817,7,2026-W24
ETH,2026-06-11 00:00:00+00:00,-1,1631.0694356657928,1.7007197837225758,14.768205654582186,False,-1,-0.9999999999999992,-1.0705583607296787,3,2026-W24
ETH,2026-06-11 12:00:00+00:00,1,1647.6514651288824,1.4205929132062791,20.911223732629683,False,-1,0.7464271414293482,0.6619553699004026,18,2026-W24
ETH,2026-06-12 12:00:00+00:00,1,1667.7657411121556,1.1953142822256129,17.33583456038131,False,-1,0.5,0.39960799282297016,4,2026-W24
ETH,2026-06-12 17:00:00+00:00,1,1667.9261968306043,1.4126196252062884,16.632588567721704,False,-1,0.591593312070652,0.5066447541865888,40,2026-W24
ETH,2026-06-14 10:00:00+00:00,1,1676.9457739948766,0.6178882047337809,30.33095475434575,True,7,-1.0000000000000056,-1.194209889557134,2,2026-W24
